wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
380,0.055,0.117,0.130,0.051,0.144,0.136,0.054,0.122,0.096,0.092,0.061,0.063,0.066,0.052,0.050,0.058,0.145,0.108,0.189,0.171,0.144,0.105,0.068,0.031
390,0.058,0.143,0.177,0.054,0.198,0.179,0.054,0.164,0.115,0.116,0.061,0.063,0.079,0.053,0.049,0.054,0.195,0.141,0.255,0.232,0.192,0.131,0.077,0.032
400,0.061,0.175,0.251,0.056,0.294,0.247,0.053,0.229,0.131,0.146,0.062,0.063,0.102,0.054,0.048,0.052,0.283,0.192,0.423,0.365,0.272,0.163,0.084,0.032
410,0.062,0.191,0.306,0.057,0.375,0.297,0.054,0.286,0.135,0.169,0.063,0.064,0.146,0.055,0.047,0.052,0.346,0.236,0.660,0.507,0.331,0.180,0.087,0.033
420,0.062,0.196,0.324,0.058,0.408,0.320,0.054,0.327,0.133,0.178,0.064,0.064,0.200,0.057,0.047,0.053,0.362,0.261,0.811,0.567,0.350,0.186,0.089,0.033
430,0.062,0.199,0.330,0.059,0.421,0.337,0.055,0.361,0.132,0.173,0.066,0.064,0.244,0.059,0.047,0.054,0.354,0.286,0.862,0.583,0.357,0.190,0.090,0.033
440,0.062,0.204,0.333,0.060,0.426,0.355,0.055,0.388,0.130,0.158,0.069,0.065,0.282,0.061,0.047,0.056,0.334,0.317,0.877,0.588,0.361,0.193,0.092,0.033
450,0.062,0.213,0.331,0.061,0.426,0.381,0.055,0.400,0.128,0.139,0.075,0.066,0.309,0.066,0.047,0.059,0.306,0.353,0.884,0.590,0.363,0.194,0.092,0.033
460,0.062,0.228,0.323,0.062,0.419,0.419,0.056,0.392,0.125,0.119,0.085,0.067,0.308,0.075,0.046,0.067,0.276,0.390,0.891,0.591,0.363,0.194,0.091,0.032
470,0.062,0.251,0.311,0.063,0.403,0.466,0.057,0.362,0.120,0.101,0.105,0.068,0.278,0.093,0.045,0.081,0.248,0.426,0.896,0.590,0.361,0.192,0.090,0.032
480,0.062,0.280,0.298,0.065,0.379,0.510,0.058,0.316,0.115,0.087,0.139,0.071,0.231,0.125,0.044,0.107,0.218,0.446,0.899,0.588,0.359,0.191,0.090,0.032
490,0.063,0.309,0.285,0.067,0.346,0.546,0.061,0.260,0.110,0.075,0.192,0.076,0.178,0.178,0.044,0.152,0.190,0.444,0.904,0.588,0.358,0.191,0.090,0.032
500,0.065,0.329,0.269,0.075,0.311,0.567,0.068,0.209,0.105,0.066,0.271,0.087,0.130,0.246,0.045,0.225,0.168,0.423,0.907,0.589,0.358,0.191,0.090,0.032
510,0.070,0.333,0.250,0.101,0.281,0.574,0.089,0.168,0.100,0.060,0.376,0.125,0.094,0.307,0.046,0.336,0.149,0.385,0.909,0.589,0.359,0.192,0.090,0.032
520,0.076,0.315,0.231,0.145,0.254,0.569,0.125,0.138,0.095,0.056,0.476,0.206,0.070,0.337,0.047,0.462,0.127,0.337,0.911,0.591,0.360,0.192,0.090,0.032
530,0.079,0.286,0.214,0.178,0.229,0.551,0.154,0.117,0.093,0.053,0.531,0.305,0.054,0.334,0.048,0.559,0.107,0.283,0.910,0.590,0.360,0.192,0.090,0.032
540,0.081,0.273,0.199,0.184,0.214,0.524,0.174,0.104,0.092,0.051,0.549,0.383,0.046,0.317,0.049,0.616,0.100,0.231,0.911,0.590,0.361,0.192,0.090,0.032
550,0.084,0.276,0.185,0.170,0.208,0.488,0.199,0.096,0.093,0.051,0.546,0.431,0.042,0.293,0.050,0.650,0.102,0.185,0.914,0.590,0.361,0.192,0.090,0.032
560,0.091,0.277,0.169,0.149,0.202,0.445,0.248,0.090,0.096,0.052,0.528,0.469,0.039,0.262,0.054,0.672,0.104,0.146,0.913,0.589,0.360,0.192,0.090,0.032
570,0.103,0.289,0.157,0.133,0.194,0.400,0.335,0.086,0.108,0.052,0.504,0.518,0.038,0.230,0.060,0.694,0.109,0.118,0.916,0.591,0.362,0.193,0.090,0.032
580,0.119,0.339,0.149,0.122,0.193,0.350,0.444,0.084,0.156,0.051,0.471,0.568,0.038,0.198,0.072,0.710,0.137,0.101,0.915,0.590,0.362,0.192,0.090,0.032
590,0.134,0.420,0.145,0.115,0.200,0.299,0.538,0.084,0.265,0.052,0.428,0.607,0.038,0.165,0.104,0.723,0.200,0.090,0.916,0.590,0.361,0.192,0.089,0.032
600,0.143,0.488,0.142,0.109,0.214,0.252,0.587,0.084,0.399,0.058,0.381,0.628,0.038,0.135,0.178,0.731,0.290,0.082,0.914,0.587,0.359,0.191,0.089,0.032
610,0.147,0.525,0.141,0.105,0.230,0.221,0.595,0.084,0.500,0.073,0.347,0.637,0.039,0.115,0.312,0.739,0.400,0.076,0.915,0.585,0.358,0.189,0.088,0.032
620,0.151,0.546,0.141,0.104,0.241,0.204,0.591,0.084,0.556,0.096,0.327,0.640,0.039,0.104,0.467,0.746,0.516,0.074,0.918,0.583,0.355,0.188,0.087,0.032
630,0.158,0.562,0.141,0.106,0.254,0.196,0.587,0.085,0.579,0.119,0.318,0.642,0.040,0.098,0.581,0.752,0.615,0.073,0.919,0.580,0.352,0.186,0.086,0.032
640,0.168,0.578,0.143,0.109,0.279,0.191,0.584,0.090,0.588,0.141,0.312,0.645,0.041,0.094,0.644,0.758,0.687,0.073,0.921,0.578,0.350,0.184,0.086,0.032
650,0.179,0.595,0.147,0.112,0.313,0.188,0.584,0.098,0.591,0.166,0.310,0.648,0.042,0.092,0.675,0.764,0.732,0.074,0.923,0.576,0.348,0.182,0.085,0.032
660,0.188,0.612,0.152,0.114,0.348,0.191,0.590,0.109,0.593,0.194,0.314,0.651,0.044,0.093,0.690,0.769,0.760,0.076,0.924,0.574,0.345,0.181,0.084,0.032
670,0.190,0.625,0.154,0.114,0.366,0.199,0.603,0.123,0.594,0.227,0.327,0.653,0.045,0.097,0.698,0.771,0.774,0.077,0.922,0.572,0.343,0.179,0.084,0.032
680,0.186,0.638,0.150,0.112,0.366,0.212,0.620,0.143,0.598,0.265,0.345,0.657,0.046,0.102,0.706,0.776,0.783,0.076,0.922,0.571,0.340,0.178,0.083,0.032
690,0.181,0.656,0.144,0.112,0.359,0.223,0.639,0.169,0.602,0.309,0.363,0.664,0.046,0.108,0.715,0.782,0.793,0.075,0.925,0.569,0.338,0.176,0.083,0.032
700,0.182,0.678,0.136,0.115,0.358,0.232,0.655,0.205,0.607,0.355,0.376,0.673,0.048,0.113,0.724,0.790,0.803,0.073,0.927,0.568,0.335,0.174,0.082,0.032
710,0.187,0.700,0.132,0.120,0.365,0.233,0.663,0.244,0.609,0.396,0.381,0.680,0.052,0.115,0.730,0.796,0.812,0.072,0.930,0.568,0.334,0.173,0.081,0.032
720,0.196,0.717,0.135,0.125,0.377,0.229,0.663,0.287,0.609,0.436,0.378,0.684,0.057,0.114,0.734,0.799,0.817,0.074,0.930,0.566,0.332,0.172,0.081,0.032
730,0.209,0.734,0.147,0.130,0.398,0.229,0.667,0.332,0.610,0.478,0.379,0.688,0.065,0.114,0.738,0.804,0.825,0.079,0.933,0.566,0.331,0.171,0.081,0.033
