wavelength,patch1,patch2,patch3,patch4,patch5,patch6,patch7,patch8,patch9,patch10,patch11,patch12,patch13,patch14,patch15,patch16,patch17,patch18,patch19,patch20,patch21,patch22,patch23,patch24,patch25,patch26,patch27,patch28,patch29,patch30,patch31,patch32,patch33,patch34,patch35,patch36,patch37,patch38,patch39,patch40,patch41,patch42,patch43,patch44,patch45,patch46,patch47,patch48,patch49,patch50,patch51,patch52,patch53,patch54,patch55,patch56,patch57,patch58,patch59,patch60,patch61,patch62,patch63,patch64,patch65,patch66,patch67,patch68,patch69,patch70,patch71,patch72,patch73,patch74,patch75,patch76,patch77,patch78,patch79,patch80,patch81,patch82,patch83,patch84,patch85,patch86,patch87,patch88,patch89,patch90,patch91,patch92,patch93,patch94,patch95,patch96,patch97,patch98,patch99,patch100,patch101,patch102,patch103,patch104,patch105,patch106,patch107,patch108,patch109,patch110,patch111,patch112,patch113,patch114,patch115,patch116,patch117,patch118,patch119,patch120,patch121,patch122,patch123,patch124,patch125,patch126,patch127,patch128,patch129,patch130,patch131,patch132,patch133,patch134,patch135,patch136,patch137,patch138,patch139,patch140,patch141,patch142,patch143,patch144,patch145,patch146,patch147,patch148,patch149,patch150,patch151,patch152,patch153,patch154,patch155,patch156,patch157,patch158,patch159,patch160,patch161,patch162,patch163,patch164,patch165,patch166,patch167,patch168,patch169,patch170,patch171,patch172,patch173,patch174,patch175,patch176,patch177,patch178,patch179,patch180,patch181,patch182,patch183,patch184,patch185,patch186,patch187,patch188,patch189,patch190
380.0,0.06,0.0649,0.1365,0.1995,0.1161,0.1193,0.1089,0.0944,0.07,0.0548,0.03,0.076,0.0612,0.0902,0.0575,0.0432,0.3355,0.0662,-6.93889390391e-18,0.0946,0.1119,0.098,-5.55111512313e-17,0.2156,0.1089,2.77555756156e-17,-1.38777878078e-17,0.0508,0.0684,0.0211,0.0809,0.1059,0.0716,0.0941,0.1169,0.0714,-5.55111512313e-17,0.0483,-4.16333634234e-17,0.0332,0.0834,0.1331,0.3367,0.1102,0.085,0.0732,-6.93889390391e-18,0.0,0.0596,0.0335,0.0412,0.0627,0.0258,0.2855,0.119,0.0204,0.055,0.0497,0.0366,0.112,-1.38777878078e-17,0.111,-2.77555756156e-17,-4.16333634234e-17,-8.32667268469e-17,0.1,0.124,0.1263,0.0552,0.0984,0.0578,0.2257,0.1155,0.0906,0.0419,0.0394,0.2115,0.1052,0.0565,2.77555756156e-17,0.0,0.047,0.0406,0.0421,-2.22044604925e-16,-8.32667268469e-17,-2.77555756156e-17,1.11022302463e-16,1.11022302463e-16,-8.32667268469e-17,0.0533,0.0285,0.0296,0.2012,0.0957,0.0439,0.0422,0.05,0.091,0.097,0.0323,0.0128,0.0574,0.041,0.0331,0.103,0.2526,0.0373,0.0663,1.38777878078e-17,0.0332,0.078,0.1548,0.5147,0.1033,0.1103,0.2776,0.0776,0.0955,0.2155,0.107,0.167,0.028,0.0968,0.5207,0.0944,0.0877,0.4995,0.312,0.4554,0.087,0.1152,0.0379,0.0823,0.5259,0.294,0.0893,0.0668,0.349,0.1315,0.1058,0.1,0.0824,-1.80411241502e-16,0.25,0.2449,0.2759,0.0762,0.2105,0.0986,0.1225,0.0993,0.0969,0.4238,0.145,0.122,5.55111512313e-17,0.1142,0.1191,0.3236,0.3661,0.3619,0.1841,0.1181,0.2824,0.03,0.2434,0.084,0.2752,0.1157,0.3125,0.2139,0.102,0.2843,0.287,0.1276,0.115,0.3409,0.1214,0.1916,0.1117,0.329,0.4675,0.3252,0.1255,0.3348,0.2687,0.4874,-8.32667268469e-17,-2.77555756156e-17
385.0,0.050112356,0.070658056,0.169628415,0.1995,0.145512233,0.150191997,0.13363375,0.111628343,0.07847642,0.057023035,0.030466736,0.085574507,0.064653923,0.10712627,0.061535963,0.043479835,0.336887045,0.075757815,0.020260553,0.098245422,0.141800357,0.119508195,0.025493281,0.216585609,0.135317295,0.034372699,0.028531438,0.051010149,0.071131968,0.021100161,0.075935662,0.132921909,0.079571987,0.094455281,0.117419867,0.08066486,0.012328301,0.050211995,0.016324891,0.032699108,0.08350864,0.120341354,0.329404771,0.110663314,0.098933402,0.080392462,0.013080703,0.09684052,0.059829883,0.03357442,0.042123355,0.068573398,0.022737341,0.291606646,0.119499195,0.018599688,0.058386505,0.053193299,0.037424306,0.117331237,0.042139061,0.121129212,0.110478275,0.021417924,0.032092067,0.103514945,0.156600346,0.163772979,0.055573929,0.093324818,0.059997337,0.228615204,0.117435411,0.084534692,0.044209677,0.039432414,0.217739443,0.101902433,0.056638971,0.00821174,0.020713681,0.048989177,0.03994266,0.042581756,0.061018428,0.02328692,0.019037449,0.02183647,0.019533552,0.01855713,0.04970285,0.029209616,0.030680221,0.216733328,0.104866747,0.045559574,0.042723615,0.053870426,0.108842383,0.097381805,0.032403425,0.014263356,0.061648301,0.042360197,0.033208243,0.107016866,0.248985472,0.034599653,0.075575415,0.11544826,0.043798996,0.078317543,0.153009685,0.515136306,0.095328325,0.139073954,0.288502024,0.077947689,0.127005262,0.21632426,0.132604968,0.180681624,0.034542612,0.109758817,0.520383523,0.107180843,0.102008268,0.499033393,0.313876827,0.454823631,0.11011836,0.145973809,0.060286747,0.091605408,0.525241658,0.295134833,0.107180595,0.066022086,0.348444631,0.16992753,0.13510015,0.117213174,0.098256322,0.266264197,0.293032365,0.245170973,0.300500122,0.079253858,0.210252681,0.12436264,0.15294688,0.123412336,0.121080202,0.441706063,0.14736068,0.158583009,0.05884802,0.151561635,0.154113297,0.323532124,0.397402983,0.360966202,0.205872129,0.124706653,0.300031589,0.031469446,0.255878816,0.105447992,0.287286591,0.153438347,0.330459672,0.229105709,0.125982453,0.310340995,0.304494017,0.164616195,0.121543328,0.368649373,0.15006351,0.20646961,0.113660801,0.328685985,0.466489305,0.342804838,0.163105018,0.334901773,0.26992721,0.48726412,0.047581673,0.068163625
390.0,0.0418,0.0758,0.2251,0.1995,0.1934,0.1923,0.1638,0.1302,0.0869,0.0592,0.0306,0.0946,0.0677,0.1247,0.0652,0.0435,0.336,0.0896,0.0295,0.1031,0.1801,0.1369,0.0365,0.2163,0.1601,0.05,0.0415,0.0511,0.0757,0.0211,0.0716,0.1636,0.0855,0.0944,0.1173,0.0888,0.0195,0.0516,0.0236,0.0325,0.0836,0.1088,0.3235,0.1105,0.111,0.086,0.0188,0.1397,0.0598,0.0338,0.0429,0.0742,0.0201,0.2955,0.12,0.017,0.061,0.0561,0.0383,0.123,0.0641,0.129,0.1616,0.0308,0.0501,0.107,0.2034,0.2129,0.056,0.0888,0.0618,0.2294,0.1185,0.0794,0.0464,0.0396,0.2203,0.0975,0.0566,0.0119,0.03,0.051,0.0397,0.0432,0.0904,0.0337,0.0289,0.0317,0.0284,0.0291,0.0461,0.0293,0.0309,0.2281,0.1097,0.0471,0.0433,0.057,0.1273,0.0973,0.0324,0.0156,0.0653,0.044,0.0332,0.111,0.2429,0.0327,0.0842,0.1689,0.0535,0.0783,0.1525,0.5162,0.0881,0.1699,0.3032,0.0779,0.1566,0.2162,0.1679,0.1941,0.0417,0.1232,0.5222,0.1198,0.1173,0.501,0.316,0.4568,0.1369,0.1911,0.0871,0.1009,0.5275,0.2948,0.1279,0.0658,0.3501,0.2332,0.1753,0.134,0.1182,0.4013,0.335,0.2457,0.3273,0.0819,0.2112,0.1603,0.2034,0.1503,0.1549,0.4571,0.152,0.2144,0.1071,0.2014,0.2141,0.3246,0.4285,0.363,0.2298,0.1314,0.3204,0.0329,0.2686,0.1289,0.2987,0.2064,0.3472,0.2411,0.1548,0.3339,0.316,0.2253,0.126,0.3934,0.1852,0.2258,0.1162,0.33,0.4689,0.3578,0.2167,0.3358,0.2695,0.4888,0.0832,0.1279
395.0,0.035099838,0.080133696,0.304771955,0.1995,0.262100016,0.246846283,0.19946283,0.149594738,0.094877423,0.061123978,0.030510732,0.103439395,0.070429225,0.143679975,0.068587507,0.043194272,0.328422734,0.109330434,0.028950091,0.109142136,0.229312775,0.151554247,0.033264021,0.207760071,0.185112025,0.049793197,0.041345647,0.051089864,0.082354225,0.021000042,0.067919551,0.200137254,0.089571789,0.088333485,0.109058724,0.096204181,0.021500167,0.052481439,0.022952115,0.032606157,0.084482363,0.098442685,0.318879165,0.100608307,0.121828163,0.090312777,0.017753241,0.133655145,0.053616525,0.034218903,0.043624031,0.079771025,0.017906277,0.296948031,0.120500819,0.015612632,0.063003054,0.058385651,0.039262703,0.129082136,0.067423297,0.134505004,0.16254325,0.029209849,0.054572581,0.110482928,0.26796251,0.276669706,0.056506825,0.084831246,0.063221365,0.227691515,0.118757126,0.075262817,0.048563807,0.039976019,0.219514118,0.091729507,0.050236257,0.011651036,0.029257062,0.053496728,0.03984874,0.043988645,0.092573249,0.032921419,0.030496667,0.031384431,0.028304808,0.03172493,0.042399652,0.028432908,0.029885456,0.235023141,0.110639239,0.048557815,0.043943943,0.059380578,0.147248054,0.090142215,0.028556585,0.016762435,0.068346562,0.04599715,0.029973428,0.114980485,0.234158935,0.031625126,0.092316775,0.169868662,0.062564294,0.074029758,0.1532928,0.517200886,0.081605028,0.204413291,0.321916181,0.073848761,0.184808856,0.21192169,0.215856707,0.207063724,0.049365367,0.137017193,0.527768898,0.132465471,0.134086449,0.507974409,0.31837312,0.463492894,0.168566633,0.252828222,0.119286695,0.110283811,0.534956526,0.289118405,0.151400724,0.06622672,0.358047729,0.324384181,0.228570958,0.150645226,0.142942463,0.404498022,0.376614014,0.248040417,0.356809559,0.084048777,0.216286204,0.207425135,0.275779656,0.180531132,0.199854613,0.469969512,0.159007698,0.292338149,0.142695119,0.266233902,0.302113647,0.330252277,0.459465851,0.374505694,0.255056212,0.138054571,0.343253086,0.034215005,0.281467839,0.155814872,0.309145558,0.278958191,0.362486582,0.249812725,0.188194642,0.355153282,0.322522672,0.312995067,0.128755809,0.414980465,0.229423314,0.246775011,0.119390293,0.334564491,0.477655664,0.36990066,0.290882331,0.337984428,0.261199791,0.493181718,0.103777162,0.175946245
400.0,0.0299,0.0833,0.4026,0.1995,0.3419,0.3034,0.2334,0.1664,0.1013,0.0625,0.0304,0.1106,0.0725,0.1605,0.0712,0.0429,0.3164,0.1294,0.0281,0.1165,0.2781,0.1589,0.03,0.1913,0.2036,0.0495,0.041,0.051,0.0903,0.0209,0.0648,0.234,0.0912,0.0779,0.0943,0.1013,0.022,0.0528,0.0219,0.0328,0.0905,0.0894,0.3159,0.085,0.1283,0.0923,0.0162,0.1232,0.0443,0.0347,0.044,0.0843,0.0161,0.2981,0.121,0.0144,0.0639,0.06,0.0402,0.135,0.0687,0.138,0.1621,0.0268,0.0555,0.114,0.3371,0.3392,0.057,0.0814,0.0642,0.225,0.1189,0.0719,0.0504,0.0404,0.2183,0.0855,0.0407,0.0114,0.0285,0.055,0.0401,0.0447,0.0929,0.0317,0.0308,0.0309,0.0282,0.0325,0.0389,0.0269,0.028,0.239,0.1107,0.0498,0.0446,0.061,0.1649,0.0789,0.0228,0.0179,0.0708,0.048,0.0252,0.119,0.2235,0.0313,0.0989,0.1693,0.07,0.067,0.1562,0.5172,0.0758,0.2354,0.3454,0.0675,0.2095,0.2044,0.2629,0.2219,0.0579,0.1517,0.5356,0.1445,0.15,0.5191,0.321,0.472,0.1991,0.3207,0.1535,0.119,0.5463,0.279,0.1781,0.0672,0.37,0.4314,0.2842,0.168,0.1694,0.3681,0.42,0.258,0.395,0.086,0.2236,0.2573,0.363,0.2092,0.2469,0.4798,0.168,0.3773,0.1725,0.3305,0.4067,0.3416,0.4936,0.3917,0.2905,0.1452,0.38,0.0357,0.2946,0.181,0.3209,0.3537,0.3795,0.2563,0.2194,0.3786,0.345,0.4135,0.138,0.4387,0.2725,0.2856,0.123,0.3407,0.4908,0.3837,0.3668,0.3415,0.2452,0.4999,0.119,0.2232
405.0,0.02623121,0.085092565,0.516089595,0.1995,0.424882157,0.351833988,0.258730245,0.17761534,0.105308668,0.063150984,0.030401592,0.114363268,0.073431767,0.171414056,0.07239128,0.042929823,0.305225781,0.14453597,0.02807015,0.125793224,0.316251288,0.159186205,0.030409035,0.171740908,0.209956094,0.049525025,0.040795623,0.050411444,0.099230602,0.020899669,0.062111844,0.258439306,0.090414701,0.068200765,0.079122141,0.103008204,0.022971036,0.052506863,0.02115997,0.032981308,0.108985978,0.081861478,0.314740136,0.073553082,0.129537927,0.092036268,0.015452646,0.115550769,0.038709982,0.03510628,0.043983234,0.086624447,0.014643717,0.301362063,0.121497499,0.013299933,0.06390452,0.060874041,0.040987584,0.140063113,0.077350228,0.139678064,0.160818884,0.02542143,0.056398187,0.117755939,0.39989827,0.385590654,0.057318707,0.078524337,0.064579838,0.223116836,0.119550333,0.069119251,0.051469572,0.040719349,0.217879332,0.079602766,0.035060055,0.011462181,0.028572355,0.055008429,0.040296349,0.045042718,0.094322695,0.030941079,0.031364925,0.030622113,0.028648695,0.034648341,0.035880422,0.025436994,0.02596172,0.241435622,0.108190356,0.050600871,0.045213142,0.061630885,0.176274562,0.070718135,0.019449327,0.019155638,0.072600807,0.049704722,0.022611634,0.12327142,0.211195545,0.031568592,0.102727518,0.169134874,0.075074647,0.061191013,0.161999554,0.513139597,0.070591368,0.255275378,0.374936439,0.062976938,0.228655408,0.196798251,0.295614716,0.241072978,0.067786399,0.16805617,0.543652203,0.155691077,0.162613089,0.532252464,0.323880822,0.478802691,0.22259701,0.385452223,0.187102379,0.126304861,0.559002509,0.267661773,0.209077313,0.068388023,0.381279425,0.544536453,0.332186914,0.186716723,0.195055446,0.345313301,0.466787884,0.280222258,0.448448172,0.087945425,0.229806104,0.301619931,0.460275716,0.231490712,0.28742937,0.486213754,0.178434216,0.454829721,0.203860821,0.379000594,0.519139275,0.358768673,0.534602532,0.407231264,0.346550171,0.153585773,0.443198013,0.037834234,0.30813739,0.201410698,0.336510101,0.414755849,0.401798522,0.261968798,0.242032943,0.40883678,0.409185463,0.514414865,0.163923542,0.47015889,0.304612137,0.362461511,0.127116503,0.345983817,0.504835485,0.404162633,0.428553065,0.346501484,0.225795482,0.508117084,0.139596742,0.283094873
410.0,0.0237,0.0862,0.623,0.1995,0.4966,0.3883,0.2756,0.1846,0.1078,0.0635,0.0305,0.1161,0.0738,0.1785,0.0729,0.0431,0.2943,0.1555,0.0282,0.1354,0.3418,0.1589,0.0313,0.1505,0.2107,0.0497,0.0406,0.0497,0.1079,0.0209,0.06,0.2706,0.0888,0.0589,0.0641,0.1032,0.0236,0.052,0.0205,0.0332,0.1314,0.0756,0.3147,0.0635,0.1293,0.0911,0.0149,0.1096,0.0344,0.0355,0.0439,0.0878,0.0135,0.3049,0.122,0.0124,0.0639,0.0614,0.0417,0.145,0.0893,0.14,0.159,0.0244,0.0568,0.121,0.4496,0.4149,0.0577,0.0761,0.0647,0.2211,0.1203,0.0669,0.0523,0.041,0.2172,0.0741,0.0309,0.0119,0.0288,0.055,0.0405,0.0453,0.0964,0.0303,0.0318,0.0305,0.0296,0.0373,0.0333,0.0239,0.0239,0.2422,0.1037,0.0513,0.0458,0.062,0.1835,0.0639,0.017,0.0205,0.074,0.051,0.0207,0.127,0.1987,0.0321,0.1051,0.1694,0.0774,0.0559,0.1693,0.5056,0.0662,0.2681,0.4065,0.059,0.2425,0.1889,0.3169,0.263,0.0785,0.1848,0.5509,0.1646,0.173,0.5463,0.327,0.4824,0.2403,0.4389,0.2174,0.1325,0.5725,0.2569,0.2416,0.0702,0.3925,0.6425,0.3694,0.202,0.218,0.3319,0.505,0.3113,0.507,0.0903,0.2348,0.3348,0.5489,0.2493,0.3189,0.4887,0.191,0.5155,0.2323,0.4121,0.618,0.3766,0.5789,0.4204,0.4113,0.1623,0.5217,0.0399,0.3226,0.2119,0.3542,0.4585,0.4266,0.2646,0.256,0.4424,0.474,0.5976,0.19,0.5056,0.3274,0.4558,0.1308,0.3507,0.5174,0.4278,0.4682,0.3523,0.2044,0.5168,0.1587,0.3418
415.0,0.022000145,0.087301258,0.696940883,0.1995,0.53928776,0.408064786,0.284165058,0.188862127,0.10971772,0.063966095,0.030677629,0.116886482,0.074050845,0.182659877,0.073334817,0.043431451,0.283169641,0.160398109,0.028338605,0.144032663,0.35143209,0.155734451,0.032414924,0.130641357,0.207123214,0.050078333,0.040302984,0.049474277,0.115950494,0.02119399,0.058724629,0.27183276,0.086765757,0.051623919,0.052096147,0.102202772,0.023257066,0.051524372,0.019925609,0.033499961,0.15059274,0.070531967,0.316788045,0.055475545,0.127422772,0.089500667,0.014332361,0.106783659,0.031300508,0.035912542,0.043724485,0.088589959,0.01266254,0.307534408,0.122622745,0.011818723,0.063898794,0.061974775,0.042381164,0.150485994,0.097773955,0.139819746,0.1569273,0.023713324,0.053496841,0.122891889,0.47469242,0.425480127,0.058368562,0.074119232,0.064901711,0.218705163,0.120619719,0.065143638,0.053243031,0.041262433,0.215601258,0.069450869,0.028337899,0.012931206,0.029259876,0.055247143,0.040742489,0.04575389,0.097761582,0.029719464,0.031801637,0.03079447,0.030850372,0.039550931,0.031306625,0.02233737,0.022237274,0.241925145,0.09917974,0.052148839,0.046337778,0.062879691,0.187466788,0.059331272,0.015481343,0.021994027,0.075206808,0.05149695,0.019169001,0.129071385,0.187616316,0.032681468,0.106958404,0.17022894,0.077662537,0.051793107,0.176897108,0.49663936,0.062891805,0.275417387,0.436244788,0.055607058,0.250603813,0.181214125,0.325669588,0.286860579,0.089552285,0.200926854,0.555564389,0.169564638,0.181320802,0.559527924,0.33033333,0.481301916,0.251588471,0.470160237,0.240368858,0.137688181,0.585668894,0.249839443,0.272932794,0.072900142,0.403075784,0.699527358,0.390149165,0.209132918,0.235087595,0.316804892,0.522848397,0.350577758,0.560462706,0.094287109,0.237263773,0.350525927,0.606450025,0.26375138,0.337298856,0.486573273,0.206492506,0.547590288,0.254874456,0.428349847,0.677144303,0.390407448,0.623811609,0.428346532,0.474476771,0.17093371,0.606340082,0.041402939,0.341174661,0.212374217,0.373491993,0.476624982,0.452534289,0.260893291,0.261660484,0.476650875,0.499167852,0.641121924,0.199974324,0.54297144,0.339545846,0.549494895,0.133122286,0.354758719,0.525341903,0.452965299,0.479725913,0.358261144,0.183794889,0.524658783,0.173895016,0.388011799
420.0,0.0209,0.0882,0.7415,0.1995,0.5611,0.4166,0.2879,0.1912,0.111,0.0644,0.0308,0.117,0.0741,0.1848,0.0735,0.0438,0.2766,0.1631,0.0285,0.1512,0.3524,0.1509,0.0337,0.1118,0.2015,0.0505,0.04,0.0494,0.1203,0.0218,0.0578,0.2714,0.0847,0.0455,0.0422,0.1004,0.0225,0.0511,0.0194,0.0338,0.1627,0.0664,0.3201,0.049,0.1247,0.0878,0.0138,0.1049,0.0291,0.0363,0.0435,0.0889,0.012,0.3086,0.123,0.0114,0.0639,0.0624,0.043,0.156,0.1044,0.139,0.1556,0.0232,0.0502,0.124,0.4846,0.4266,0.0592,0.0723,0.065,0.2152,0.1206,0.0639,0.0544,0.0415,0.2127,0.0652,0.0268,0.0144,0.0297,0.056,0.041,0.0461,0.0989,0.0292,0.0318,0.0313,0.0322,0.0415,0.0296,0.0209,0.0208,0.24,0.0944,0.0532,0.0469,0.0639,0.189,0.0563,0.0146,0.0235,0.0763,0.052,0.0181,0.131,0.1776,0.0334,0.1086,0.1714,0.0776,0.0487,0.1849,0.4868,0.0604,0.2803,0.4622,0.0529,0.2539,0.1747,0.329,0.3106,0.1013,0.216,0.5592,0.1712,0.1888,0.5718,0.334,0.4786,0.2605,0.4874,0.2592,0.1419,0.5977,0.2451,0.3035,0.0766,0.4124,0.727,0.4029,0.212,0.2492,0.3011,0.53,0.392,0.6032,0.0972,0.2378,0.3537,0.638,0.2762,0.3489,0.4797,0.224,0.5619,0.273,0.434,0.7074,0.3971,0.6616,0.4312,0.5284,0.1785,0.6798,0.0421,0.3536,0.2119,0.391,0.4789,0.4753,0.2529,0.2618,0.5077,0.502,0.6571,0.201,0.5762,0.3431,0.6272,0.134,0.3568,0.5285,0.4749,0.4795,0.3643,0.1639,0.5319,0.1815,0.4226
425.0,0.020056322,0.088641063,0.761492149,0.1995,0.571329546,0.420143635,0.290226085,0.192289617,0.11152311,0.06461511,0.030762655,0.116554969,0.073737387,0.185831906,0.073406049,0.044051459,0.276365748,0.166910959,0.028740805,0.1562712,0.349659688,0.147067646,0.035291829,0.094481,0.197070159,0.050830108,0.039773914,0.04932554,0.119850243,0.022512311,0.056819446,0.268329912,0.083141844,0.040162909,0.034625451,0.098411591,0.021449743,0.05084989,0.018887379,0.034012707,0.165048942,0.062881517,0.322749127,0.043887542,0.12244918,0.086536467,0.01327472,0.101923529,0.02746883,0.036600006,0.04325667,0.088962675,0.011331271,0.305333606,0.12299992,0.011006325,0.063900319,0.062527697,0.043531413,0.161142218,0.108381407,0.137005973,0.155956851,0.022693686,0.051098679,0.124628487,0.488386562,0.425692091,0.060088013,0.070263408,0.064618057,0.209278209,0.118686608,0.063206545,0.05597481,0.041694304,0.207480939,0.060825719,0.025644323,0.016356215,0.02982999,0.057378095,0.04125127,0.04615908,0.099881069,0.028706114,0.031337204,0.031768669,0.033381433,0.042887761,0.027806425,0.019774809,0.01952505,0.235159758,0.08957451,0.054581766,0.047554943,0.065002365,0.189507662,0.05430778,0.014056391,0.024838555,0.077360188,0.053307352,0.017487612,0.134113691,0.168536366,0.03424375,0.11050832,0.172524274,0.076522863,0.046676079,0.192843422,0.476782651,0.058316204,0.286086143,0.48186105,0.05083419,0.254599034,0.170334811,0.333539033,0.331880954,0.113913753,0.228843712,0.563013925,0.170476079,0.196532176,0.58264736,0.338140718,0.475519044,0.270912385,0.498857059,0.276627059,0.145040129,0.607532693,0.24207102,0.332945632,0.081460134,0.41968324,0.738932122,0.41577864,0.214958403,0.262475504,0.28723838,0.537331011,0.429953484,0.629947513,0.097559355,0.23532382,0.350337294,0.651096659,0.287959248,0.359838038,0.467574583,0.243140923,0.570358544,0.287613543,0.435864472,0.721722203,0.393039316,0.683950432,0.428034249,0.564325351,0.184301677,0.723584255,0.041659759,0.354874128,0.206718022,0.402699446,0.473544828,0.48972157,0.242561528,0.259178508,0.531441526,0.499387053,0.660840231,0.200029137,0.598627913,0.34133651,0.668562098,0.131105633,0.355343041,0.526896278,0.488114692,0.474398145,0.370281509,0.145372636,0.538566224,0.181772294,0.44484833
